rental_time,place_code,place_name,rental_category,gender,age,count,exercise,carbon,travel_distance,travel_time
0,817,삼각지역 4번출구 앞,정기,F,20대,1,33.88,0.32,1380,8
0,927,연신내역 3번출구 인근,정기,F,20대,1,113.69,0.77,3300,21
0,307,서울역사박물관 앞,정기,F,30대,2,109.93,1.05,4550,43
0,419,홈플러스 앞,정기,F,30대,1,85.97,0.77,3340,20
0,315,신한은행 안국역지점 옆,정기,M,20대,1,71.58,0.56,2410,16
0,326,안국역 5번출구 앞,정기,M,20대,1,107.0,0.9,3860,15
0,347,동대문역사문화공원역 9번출구 앞,정기,M,20대,1,40.99,0.32,1380,11
0,916,평생학습관 앞,정기,M,20대,1,34.23,0.31,1330,7
0,223,진주아파트상가 앞,정기,M,20대,1,77.34,0.49,2100,21
0,600,휘경2동 주민센터,정기,M,30대,1,70.82,0.57,2450,8
0,232,양평우림 이비즈센타 앞,정기,M,30대,1,166.65,1.16,5010,20
0,240,문래역 4번출구 앞,정기,M,30대,1,18.84,0.16,670,2
0,194,증산교 앞,정기,M,30대,1,90.95,0.54,2320,12
0,213,KT앞,정기,M,30대,1,106.56,0.69,2990,19
0,185,마포 신수공원 앞,정기,M,40대,1,71.04,0.53,2300,11
0,539,군자교교차로,정기,M,50대,1,44.48,0.36,1560,9
0,175,홍연2교옆,일일(회원),F,20대,1,202.08,2.82,12150,60
0,567,성수역 2번출구 앞,일일(회원),F,30대,1,25.74,0.29,1250,10
0,326,안국역 5번출구 앞,일일(회원),M,20대,2,435.85,3.59,15500,163
0,318,광교사거리 남측,단체,M,40대,2,115.32,0.84,3640,71
1,324,신세계백화점 본점 앞,정기,F,20대,1,123.55,1.11,4800,28
1,113,홍대입구역 2번출구 앞,정기,F,20대,1,38.1,0.34,1480,8
1,905,구파발역 2번출구,정기,F,20대,1,33.15,0.36,1550,8
1,917,녹번역 4번출구,정기,F,20대,1,68.47,0.62,2660,16
1,308,광화문 S타워 앞,정기,F,30대,1,33.86,0.4,1710,13
1,384,종로학원본원,정기,F,30대,1,23.68,0.21,920,8
1,818,숙명여대 입구 교차로,정기,F,30대,1,28.83,0.26,1120,6
1,505,자양사거리 광진아크로텔 앞,정기,M,20대,2,75.02,0.68,2960,15
1,118,광흥창역 2번출구 앞,정기,M,20대,2,82.19,0.53,2270,32
1,148,용강동 주민센터 앞,정기,M,20대,1,17.0,0.13,580,2
1,126,서강대 후문 옆,정기,M,20대,1,31.15,0.33,1430,7
1,818,숙명여대 입구 교차로,정기,M,20대,1,168.6,1.52,6550,16
1,308,광화문 S타워 앞,정기,M,30대,1,55.44,0.41,1750,13
1,540,군자역 7번출구 베스트샵 앞,정기,M,30대,1,96.44,0.69,2970,33
1,634,외국어대 정문 앞,정기,M,30대,1,33.54,0.28,1210,9
1,107,신한은행 서교동금융센터점 앞,정기,M,30대,1,146.36,1.3,5600,27
1,540,군자역 7번출구 베스트샵 앞,일일(회원),M,20대,1,31.66,0.29,1230,7
1,602,장안동 사거리,일일(회원),M,20대,1,134.32,0.98,4240,25
1,128,신촌역(2호선) 1번출구 옆,일일(회원),M,20대,1,54.65,0.53,2300,15
1,160,북아현동 가구거리,일일(회원),M,30대,1,178.17,1.37,5920,46
1,127,현대벤처빌 앞,일일(회원),M,30대,1,53.56,0.45,1960,14
1,113,홍대입구역 2번출구 앞,일일(회원),M,50대,1,72.14,0.61,2640,14
1,932,예일여중,일일(비회원),M,20대,2,225.42,1.76,7590,44
2,346,맥스타일 앞,정기,F,20대,1,56.37,0.51,2190,17
2,573,구의문주차장 앞,정기,F,20대,1,68.19,0.67,2870,13
2,116,일진아이윌아파트 옆,정기,M,20대,1,63.63,0.48,2060,18
2,329,청계2가 사거리 옆,정기,M,20대,1,32.93,0.25,1080,5
2,111,상수역 2번출구 앞,정기,M,20대,1,323.9,2.64,11360,58
2,334,종로3가역 2번출구 뒤,정기,M,20대,2,72.14,0.53,2300,13
2,146,마포역 1번출구 뒤,정기,M,20대,1,141.54,1.12,4830,23
2,127,현대벤처빌 앞,정기,M,20대,1,65.93,0.43,1850,5
2,579,마장역 4번출구,정기,M,20대,2,93.42,0.78,3370,14
2,409,누리꿈스퀘어 옆,정기,M,20대,1,90.26,0.61,2620,13
2,540,군자역 7번출구 베스트샵 앞,정기,M,30대,1,95.93,0.75,3230,20
2,214,금융감독원 앞,정기,M,30대,1,45.05,0.41,1750,9
2,113,홍대입구역 2번출구 앞,정기,M,40대,1,18.28,0.16,710,4
2,328,탑골공원 앞,정기,M,50대,1,161.54,1.21,5230,53
2,825,서빙고동 주민센터 앞,일일(회원),F,20대,1,230.37,2.33,10030,54
2,305,종로구청 옆,일일(회원),M,20대,3,65.88,0.58,2520,25
2,346,맥스타일 앞,일일(회원),M,20대,1,58.11,0.51,2190,17
2,118,광흥창역 2번출구 앞,일일(회원),M,20대,1,55.6,0.5,2160,6
2,520,상왕십리역 4번 출구 앞,일일(회원),M,20대,1,169.8,1.24,5360,36
2,361,동묘앞역 1번출구 뒤,일일(회원),M,30대,1,200.74,1.55,6670,34
2,810,이태원지하보도,일일(회원),M,30대,1,49.93,0.46,1970,7
3,113,홍대입구역 2번출구 앞,정기,F,20대,1,41.88,0.33,1410,9
3,112,극동방송국 앞,정기,M,20대,1,40.1,0.31,1350,16
3,138,신촌동 제1공영주차장 앞,정기,M,20대,1,34.45,0.27,1160,6
3,329,청계2가 사거리 옆,정기,M,30대,1,80.05,0.72,3110,12
3,559,왕십리역 4번 출구 건너편,정기,M,50대,1,69.85,0.58,2520,13
3,113,홍대입구역 2번출구 앞,일일(회원),F,20대,2,1.99,0.02,90,6
3,170,가재울 뉴타운 주유소 옆,일일(회원),M,20대,1,42.47,0.38,1650,11
3,244,영등포삼환아파트 앞,일일(회원),M,20대,1,72.23,0.44,1900,13
4,216,삼부아파트1동 앞,정기,F,20대,1,25.49,0.26,1110,7
4,108,서교동 사거리,정기,M,20대,1,92.66,0.54,2340,13
4,565,옥수역 3번출구,정기,M,40대,1,214.28,1.79,7730,40
4,811,녹사평역1번출구,일일(회원),M,20대,2,254.68,2.46,10630,56
5,341,혜화역 3번출구 뒤,정기,F,30대,1,15.52,0.13,560,3
5,259,대방역6번출구,정기,F,30대,1,24.5,0.28,1190,6
5,114,홍대입구역 8번출구 앞,정기,M,20대,1,71.28,0.56,2400,17
5,612,시립동부병원 앞 사거리,정기,M,20대,1,19.05,0.17,740,4
5,571,어린이대공원역6번출구,정기,M,50대,1,70.54,0.57,2440,12
5,224,롯데캐슬 앞,일일(회원),M,20대,1,28.06,0.25,1090,4
6,135,명물길 원형무대 앞,정기,F,20대,1,133.45,1.56,6740,39
6,637,KAIST 경영대학 앞,일일(비회원),M,20대,1,171.07,1.25,5400,88
7,348,독립문역 사거리,정기,F,20대,1,59.49,0.6,2590,9
7,152,마포구민체육센터 앞,정기,F,20대,1,215.42,2.52,10880,56
7,195,모래내고가차도,정기,F,30대,1,29.11,0.34,1470,8
7,340,혜화동 로터리,정기,F,40대,1,10.91,0.12,530,9
7,402,상암월드컵파크 9단지 앞,정기,F,50대,1,38.82,0.39,1690,9
7,240,문래역 4번출구 앞,정기,M,20대,1,17.25,0.15,650,4
7,244,영등포삼환아파트 앞,정기,M,20대,1,17.46,0.15,630,3
7,931,역촌파출소,정기,M,30대,1,45.96,0.37,1590,6
7,150,서강대역 2번출구 앞,정기,M,40대,1,17.31,0.11,460,3
7,421,마포구청 앞,정기,M,40대,1,117.8,1.03,4440,47
7,306,광화문역 7번출구 앞,정기,M,50대,1,37.58,0.34,1460,10
7,216,삼부아파트1동 앞,정기,M,50대,1,256.41,2.15,9250,52
7,101,(구)합정동 주민센터,일일(회원),F,20대,1,188.67,1.7,7330,56
7,800,목월공원 앞,일일(회원),M,30대,1,116.7,0.98,4210,31
8,328,탑골공원 앞,정기,F,20대,1,74.49,0.79,3420,23
8,540,군자역 7번출구 베스트샵 앞,정기,F,30대,1,19.36,0.22,940,6
8,306,광화문역 7번출구 앞,정기,M,20대,1,113.76,0.93,3990,26
8,316,종각역 1번출구 앞,정기,M,20대,1,38.81,0.32,1400,3
8,327,낙원상가 옆,정기,M,20대,1,19.96,0.17,720,3
8,338,세운스퀘어 앞,정기,M,20대,1,24.74,0.2,880,3
8,343,예일빌딩(율곡로) 앞,정기,M,20대,1,96.27,0.51,2210,15
8,361,동묘앞역 1번출구 뒤,정기,M,20대,1,17.68,0.17,720,4
8,209,유진투자증권빌딩 앞,정기,M,20대,1,10.81,0.09,390,2
8,313,서울역 광장 파출소 옆,정기,M,30대,1,155.98,1.41,6060,53
8,339,종로4가 사거리,정기,M,30대,1,49.1,0.36,1550,7
8,521,왕십리역 11번 출구 앞,정기,M,30대,1,167.96,1.19,5110,24
8,420,서울시 공공자전거 상암센터,정기,M,40대,1,107.72,0.94,4060,55
8,302,경복궁역 4번출구 뒤,정기,M,50대,1,23.76,0.19,800,4
8,260,여의도 마리나선착장 앞,정기,M,50대,1,91.24,0.67,2880,31
9,813,삼각지역 3번출구,정기,F,60대,1,45.14,0.44,1900,10
9,322,명동성당 앞,정기,M,20대,1,114.19,0.62,2670,11
9,225,앙카라공원 앞,정기,M,20대,1,32.22,0.24,1030,5
9,522,금호역 1번출구 앞,정기,M,30대,1,19.52,0.2,850,5
9,259,대방역6번출구,정기,M,30대,1,36.08,0.31,1340,7
9,574,아차산역4번출구,정기,M,30대,1,104.85,0.74,3190,17
9,627,장안동삼거리 교통섬,정기,M,30대,1,33.36,0.18,780,3
9,102,망원역 1번출구 앞,정기,M,30대,1,20.28,0.15,640,3
9,703,오목교역 7번출구 앞,정기,M,50대,1,121.52,1.27,5480,34
9,500,어린이대공원역 3번출구 앞,일일(회원),F,20대,1,82.6,0.95,4090,29
9,182,망원2빗물펌프장 앞,일일(회원),M,50대,1,143.89,1.3,5590,19
9,419,홈플러스 앞,일일(비회원),M,20대,1,121.98,1.05,4530,21
10,574,아차산역4번출구,정기,F,20대,1,54.61,0.46,1970,34
10,637,KAIST 경영대학 앞,정기,F,20대,1,143.15,1.68,7230,33
10,113,홍대입구역 2번출구 앞,정기,F,30대,1,8.34,0.09,390,2
10,401,상암월드컵파크 10단지 앞,정기,F,30대,1,21.78,0.23,1000,6
10,106,합정역 7번출구 앞,정기,F,30대,1,17.06,0.17,730,5
10,363,신설동역 11번출구 뒤,정기,M,20대,1,60.85,0.46,1970,12
10,520,상왕십리역 4번 출구 앞,정기,M,20대,1,157.27,1.42,6110,30
10,173,서대문역 8번출구 앞,정기,M,30대,1,16.47,0.12,520,2
10,900,은평예술회관,정기,M,30대,1,23.17,0.21,900,7
10,933,LG서비스 역촌점,정기,M,40대,1,74.36,0.49,2110,22
10,302,경복궁역 4번출구 뒤,정기,M,50대,1,36.89,0.27,1150,6
10,334,종로3가역 2번출구 뒤,정기,M,50대,1,26.39,0.23,980,10
10,232,양평우림 이비즈센타 앞,일일(회원),F,20대,1,31.8,0.34,1460,9
10,505,자양사거리 광진아크로텔 앞,일일(회원),M,30대,1,64.31,0.47,2030,29
10,172,서대문소방서,일일(회원),M,30대,1,56.21,0.39,1670,8
10,904,은평뉴타운 푸르지오,일일(회원),M,30대,2,237.6,1.68,7270,51
10,304,광화문역 2번출구 앞,일일(회원),M,40대,1,27.8,0.25,1080,6
11,224,롯데캐슬 앞,정기,F,20대,1,14.9,0.15,660,4
11,514,성수사거리 버스정류장 앞,정기,F,30대,1,208.42,2.39,10320,45
11,520,상왕십리역 4번 출구 앞,정기,F,30대,1,28.02,0.28,1220,9
11,165,중앙근린공원,정기,F,40대,1,21.38,0.25,1080,4
