rental_date,rental_time,place_code,place_name,rental_category,gender,age,count,exercise,carbon,travel_distance,travel_time
2024-01-01,00,230,영등포구청역 1번출구,정기,F,~10대,1,31.27,0.39,1680,155
2024-01-01,00,315,신한은행 안국역지점 옆,정기,F,20대,1,47.32,0.55,2390,15
2024-01-01,00,328,탑골공원 앞,정기,F,20대,1,57.92,0.52,2250,13
2024-01-01,00,175,홍연2교옆,정기,F,20대,1,133.29,1.53,6600,43
2024-01-01,00,817,삼각지역 4번출구 앞,정기,F,20대,1,33.88,0.32,1380,8
2024-01-01,00,906,연신내역 5번출구150M 아래,정기,F,20대,1,31.24,0.37,1610,11
2024-01-01,00,927,연신내역 3번출구 인근,정기,F,20대,1,113.69,0.77,3300,21
2024-01-01,00,307,서울역사박물관 앞,정기,F,30대,2,109.93,1.05,4550,43
2024-01-01,00,327,낙원상가 옆,정기,F,30대,1,56.63,0.51,2200,18
2024-01-01,00,335,종로3가역 15번출구 앞,정기,F,30대,1,72.5,0.83,3590,24
2024-01-01,00,113,홍대입구역 2번출구 앞,정기,F,30대,1,62.73,0.61,2640,16
2024-01-01,00,419,홈플러스 앞,정기,F,30대,1,85.97,0.77,3340,20
2024-01-01,00,716,신정6동 주민센터 인근,정기,F,40대,1,15.68,0.15,660,30
2024-01-01,00,326,안국역 5번출구 앞,정기,F,60대,1,68.07,0.44,1910,14
2024-01-01,00,327,낙원상가 옆,정기,F,60대,1,11.76,0.08,330,4
2024-01-01,00,900,은평예술회관,정기,M,~10대,1,135.16,0.85,3670,19
2024-01-01,00,216,삼부아파트1동 앞,정기,M,~10대,1,51.14,0.48,2050,20
2024-01-01,00,109,제일빌딩 앞,정기,M,20대,1,15.25,0.18,770,6
2024-01-01,00,315,신한은행 안국역지점 옆,정기,M,20대,1,71.58,0.56,2410,16
2024-01-01,00,326,안국역 5번출구 앞,정기,M,20대,1,107,0.9,3860,15
2024-01-01,00,328,탑골공원 앞,정기,M,20대,1,67.44,0.61,2620,16
2024-01-01,00,111,상수역 2번출구 앞,정기,M,20대,1,80.05,0.72,3110,16
2024-01-01,00,334,종로3가역 2번출구 뒤,정기,M,20대,1,82.76,0.56,2430,22
2024-01-01,00,112,극동방송국 앞,정기,M,20대,1,68.47,0.62,2660,14
2024-01-01,00,347,동대문역사문화공원역 9번출구 앞,정기,M,20대,1,40.99,0.32,1380,11
2024-01-01,00,361,동묘앞역 1번출구 뒤,정기,M,20대,1,101.93,0.54,2340,12
2024-01-01,00,114,홍대입구역 8번출구 앞,정기,M,20대,1,213.9,1.93,8310,36
2024-01-01,00,119,서강나루 공원,정기,M,20대,1,105.61,0.88,3810,21
2024-01-01,00,162,봉원고가차도 밑,정기,M,20대,1,69.3,0.58,2500,11
2024-01-01,00,172,서대문소방서,정기,M,20대,1,674.31,5.49,23650,8
2024-01-01,00,236,문래동자이아파트 앞,정기,M,20대,1,58.94,0.53,2290,11
2024-01-01,00,704,남부법원검찰청 교차로,정기,M,20대,1,44.49,0.32,1370,6
2024-01-01,00,230,영등포구청역 1번출구,정기,M,20대,1,26.93,0.2,850,3
2024-01-01,00,905,구파발역 2번출구,정기,M,20대,1,52.8,0.46,1990,8
2024-01-01,00,906,연신내역 5번출구150M 아래,정기,M,20대,1,129.02,0.84,3620,24
2024-01-01,00,916,평생학습관 앞,정기,M,20대,1,34.23,0.31,1330,7
2024-01-01,00,223,진주아파트상가 앞,정기,M,20대,1,77.34,0.49,2100,21
2024-01-01,00,318,광교사거리 남측,정기,M,30대,1,29.01,0.23,990,4
2024-01-01,00,146,마포역 1번출구 뒤,정기,M,30대,1,49.01,0.38,1650,6
2024-01-01,00,148,용강동 주민센터 앞,정기,M,30대,1,65.7,0.49,2100,11
2024-01-01,00,165,중앙근린공원,정기,M,30대,1,32.12,0.24,1040,6
2024-01-01,00,600,휘경2동 주민센터,정기,M,30대,1,70.82,0.57,2450,8
2024-01-01,00,232,양평우림 이비즈센타 앞,정기,M,30대,1,166.65,1.16,5010,20
2024-01-01,00,237,보라매 두산위브 건너편,정기,M,30대,1,48.41,0.38,1630,8
2024-01-01,00,240,문래역 4번출구 앞,정기,M,30대,1,18.84,0.16,670,2
2024-01-01,00,194,증산교 앞,정기,M,30대,1,90.95,0.54,2320,12
2024-01-01,00,195,모래내고가차도,정기,M,30대,1,265.89,2.4,10330,40
2024-01-01,00,140,이화여대 후문,정기,M,30대,1,1.52,0.01,50,7
2024-01-01,00,139,연세대 정문 건너편,정기,M,30대,1,52.51,0.47,2040,7
2024-01-01,00,925,불광역 2번출구,정기,M,30대,1,61.25,0.48,2090,10
2024-01-01,00,213,KT앞,정기,M,30대,1,106.56,0.69,2990,19
2024-01-01,00,106,합정역 7번출구 앞,정기,M,30대,1,122.14,1.04,4470,23
2024-01-01,00,300,정동사거리,정기,M,40대,1,37.38,0.27,1180,8
2024-01-01,00,308,광화문 S타워 앞,정기,M,40대,1,228.81,2.23,9630,42
2024-01-01,00,322,명동성당 앞,정기,M,40대,1,120.61,0.98,4230,24
2024-01-01,00,117,홍은사거리,정기,M,40대,1,24.24,0.2,850,4
2024-01-01,00,536,행당역 2번출구 앞,정기,M,40대,1,76.98,0.56,2430,14
2024-01-01,00,127,현대벤처빌 앞,정기,M,40대,1,55.24,0.43,1860,12
2024-01-01,00,185,마포 신수공원 앞,정기,M,40대,1,71.04,0.53,2300,11
2024-01-01,00,819,선린인터넷 고등학교,정기,M,40대,1,44.19,0.43,1860,6
2024-01-01,00,933,LG서비스 역촌점,정기,M,40대,1,57.1,0.48,2060,11
2024-01-01,00,300,정동사거리,정기,M,50대,1,10.23,0.09,380,3
2024-01-01,00,539,군자교교차로,정기,M,50대,1,44.48,0.36,1560,9
2024-01-01,00,175,홍연2교옆,일일(회원),F,20대,1,202.08,2.82,12150,60
2024-01-01,00,811,녹사평역1번출구,일일(회원),F,20대,1,44.45,0.57,2440,22
2024-01-01,00,639,서울시립대 후문,일일(회원),F,20대,1,55.2,0.61,2630,13
2024-01-01,00,567,성수역 2번출구 앞,일일(회원),F,30대,1,25.74,0.29,1250,10
2024-01-01,00,180,충정로역 7번출구 뒤,일일(회원),M,~10대,1,40.55,0.37,1600,6
2024-01-01,00,326,안국역 5번출구 앞,일일(회원),M,20대,2,435.85,3.59,15500,163
2024-01-01,00,328,탑골공원 앞,일일(회원),M,20대,1,60.23,0.53,2270,13
2024-01-01,00,112,극동방송국 앞,일일(회원),M,20대,1,61.54,0.6,2590,14
2024-01-01,00,536,행당역 2번출구 앞,일일(회원),M,20대,1,44.21,0.34,1450,9
2024-01-01,00,825,서빙고동 주민센터 앞,일일(회원),M,30대,1,87,0.78,3380,14
2024-01-01,00,330,청계천 한빛광장,일일(회원),M,40대,1,63.2,0.53,2280,17
2024-01-01,00,334,종로3가역 2번출구 뒤,일일(비회원),M,20대,1,125.02,1.05,4510,54
2024-01-01,00,811,녹사평역1번출구,일일(비회원),M,40대,1,67.64,0.57,2440,23
2024-01-01,00,318,광교사거리 남측,단체,M,40대,2,115.32,0.84,3640,71
2024-01-01,01,324,신세계백화점 본점 앞,정기,F,20대,1,123.55,1.11,4800,28
2024-01-01,01,113,홍대입구역 2번출구 앞,정기,F,20대,1,38.1,0.34,1480,8
2024-01-01,01,142,아현역 4번출구 앞,정기,F,20대,1,115,1.4,6050,37
2024-01-01,01,146,마포역 1번출구 뒤,정기,F,20대,1,13.22,0.15,630,6
